Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;gross margin percentage;gross income;Rating
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;47.38;4;9476;198996;23/01/2019;10:25:00;Cash;4761904762;9476;7.1
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;44.86;10;22.43;471.03;26/01/2019;19:54:00;Ewallet;4761904762;22.43;8.2
873-51-0671;A;Yangon;Member;Female;Sports and travel;21.98;7;7693;161553;10/01/2019;16:42:00;Ewallet;4761904762;7693;5.1
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64.36;9;28962;608202;12/03/2019;12:09:00;Credit card;4761904762;28962;8.6
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;89.75;1;44875;942375;06/02/2019;20:05:00;Credit card;4761904762;44875;6.6
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97.16;1;4858;102018;08/03/2019;20:38:00;Ewallet;4761904762;4858;7.2
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87.87;10;43935;922635;29/03/2019;10:25:00;Ewallet;4761904762;43935;5.1
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;12.45;6;3735;78435;09/02/2019;13:11:00;Cash;4761904762;3735;4.1
865-92-6136;A;Yangon;Normal;Male;Food and beverages;52.75;3;79125;1661625;23/03/2019;10:16:00;Ewallet;4761904762;79125;9.3
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82.7;6;24.81;521.01;05/03/2019;18:14:00;Cash;4761904762;24.81;7.4
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48.71;1;24355;511455;26/03/2019;19:20:00;Cash;4761904762;24355;4.1
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78.55;9;353475;7422975;01/03/2019;13:22:00;Cash;4761904762;353475;7.2
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;23.07;9;103815;2180115;01/02/2019;11:27:00;Cash;4761904762;103815;4.9
212-62-1842;A;Yangon;Normal;Male;Food and beverages;58.26;6;17478;367038;28/03/2019;16:44:00;Cash;4761904762;17478;9.9
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;30.35;7;106225;2230725;19/03/2019;18:19:00;Cash;4761904762;106225;8.0
704-48-3927;A;Yangon;Member;Male;Electronic accessories;88.67;10;44335;931035;12/01/2019;14:50:00;Ewallet;4761904762;44335;7.3
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;27.38;6;8214;172494;05/01/2019;20:54:00;Credit card;4761904762;8214;7.9
630-74-5166;A;Yangon;Normal;Male;Sports and travel;62.13;6;18639;391419;22/03/2019;20:19:00;Cash;4761904762;18639;7.4
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;33.98;9;15291;321111;24/03/2019;10:43:00;Cash;4761904762;15291;4.2
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;81.97;10;40985;860685;03/03/2019;14:30:00;Cash;4761904762;40985;9.2
479-26-8945;B;Mandalay;Member;Female;Sports and travel;16.49;2;1649;34629;05/02/2019;11:32:00;Ewallet;4761904762;1649;4.6
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;98.21;3;147315;3093615;05/02/2019;10:41:00;Credit card;4761904762;147315;7.8
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72.84;7;25494;535374;15/02/2019;12:44:00;Cash;4761904762;25494;8.4
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;58.07;9;261315;5487615;19/01/2019;20:07:00;Ewallet;4761904762;261315;4.3
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80.79;9;363555;7634655;01/02/2019;20:31:00;Credit card;4761904762;363555;9.5
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;27.02;3;4053;85113;02/03/2019;13:01:00;Credit card;4761904762;4053;7.1
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;21.94;5;5485;115185;05/03/2019;12:29:00;Ewallet;4761904762;5485;5.3
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;51.36;1;2568;53928;16/01/2019;15:26:00;Ewallet;4761904762;2568;5.2
642-32-2990;A;Yangon;Normal;Female;Food and beverages;10.96;10;5.48;115.08;02/02/2019;20:48:00;Ewallet;4761904762;5.48;6.0
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;53.44;2;5344;112224;20/01/2019;20:38:00;Ewallet;4761904762;5344;4.1
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;99.56;8;39824;836304;14/02/2019;17:03:00;Credit card;4761904762;39824;5.2
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;57.12;7;19992;419832;12/01/2019;12:02:00;Credit card;4761904762;19992;6.5
219-22-9386;B;Mandalay;Member;Male;Sports and travel;99.96;9;44982;944622;09/03/2019;17:26:00;Credit card;4761904762;44982;4.2
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;63.91;8;25564;536844;13/03/2019;19:52:00;Credit card;4761904762;25564;4.6
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56.47;8;22588;474348;09/03/2019;14:57:00;Ewallet;4761904762;22588;7.3
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;93.69;7;327915;6886215;10/03/2019;18:44:00;Credit card;4761904762;327915;4.5
870-54-3162;A;Yangon;Normal;Female;Sports and travel;32.25;5;80625;1693125;27/01/2019;13:26:00;Cash;4761904762;80625;9.0
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;142785;2998485;08/01/2019;16:17:00;Credit card;4761904762;142785;5.9
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;68.54;8;27416;575736;08/01/2019;15:57:00;Ewallet;4761904762;27416;8.5
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;90.28;9;40626;853146;08/02/2019;11:15:00;Ewallet;4761904762;40626;7.2
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39.62;7;13867;291207;25/01/2019;13:18:00;Cash;4761904762;13867;7.5
802-70-5316;A;Yangon;Member;Female;Sports and travel;92.13;6;27639;580419;06/03/2019;20:34:00;Cash;4761904762;27639;8.3
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34.84;4;6968;146328;10/02/2019;18:36:00;Cash;4761904762;6968;7.4
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;87.45;6;26235;550935;17/02/2019;14:40:00;Credit card;4761904762;26235;8.8
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;81.3;6;24.39;512.19;08/03/2019;16:43:00;Ewallet;4761904762;24.39;5.3
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;90.22;3;13533;284193;18/02/2019;19:39:00;Cash;4761904762;13533;6.2
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;26.31;5;65775;1381275;18/01/2019;20:59:00;Credit card;4761904762;65775;8.8
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;34.42;6;10326;216846;18/02/2019;15:39:00;Cash;4761904762;10326;9.8
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;51.91;10;25955;545055;16/02/2019;12:21:00;Cash;4761904762;25955;8.2
575-30-8091;A;Yangon;Normal;Male;Sports and travel;72.5;8;29.0;609.0;16/03/2019;19:25:00;Ewallet;4761904762;29.0;9.2
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;89.8;10;44.9;942.9;23/01/2019;13:00:00;Credit card;4761904762;44.9;5.4
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;90.5;10;45.25;950.25;25/01/2019;13:48:00;Cash;4761904762;45.25;8.1
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;68.6;10;34.3;720.3;05/02/2019;19:57:00;Cash;4761904762;34.3;9.1
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;30.41;1;15205;319305;22/02/2019;10:36:00;Credit card;4761904762;15205;8.4
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;77.95;6;23385;491085;21/01/2019;16:37:00;Ewallet;4761904762;23385;8.0
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;46.26;6;13878;291438;08/03/2019;17:11:00;Credit card;4761904762;13878;9.5
685-64-1609;A;Yangon;Member;Female;Fashion accessories;30.14;10;15.07;316.47;10/02/2019;12:28:00;Ewallet;4761904762;15.07;9.2
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;66.14;4;13228;277788;19/03/2019;12:46:00;Credit card;4761904762;13228;5.6
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;71.86;8;28744;603624;06/03/2019;15:07:00;Credit card;4761904762;28744;6.2
238-49-0436;A;Yangon;Normal;Male;Health and beauty;32.46;8;12984;272664;27/03/2019;13:48:00;Credit card;4761904762;12984;4.9
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;91.54;4;18308;384468;23/03/2019;19:20:00;Credit card;4761904762;18308;4.8
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;34.56;7;12096;254016;11/03/2019;16:07:00;Credit card;4761904762;12096;7.3
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;83.24;9;37458;786618;29/01/2019;11:56:00;Credit card;4761904762;37458;7.4
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;16.48;6;4944;103824;07/02/2019;18:23:00;Ewallet;4761904762;4944;9.9
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;80.97;8;32388;680148;28/01/2019;13:05:00;Cash;4761904762;32388;9.3
782-95-9291;A;Yangon;Member;Male;Food and beverages;92.29;5;230725;4845225;20/02/2019;15:55:00;Credit card;4761904762;230725;9.0
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;72.17;1;36085;757785;04/01/2019;19:40:00;Cash;4761904762;36085;6.1
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;50.28;5;12.57;263.97;07/03/2019;13:58:00;Ewallet;4761904762;12.57;9.7
743-04-1105;B;Mandalay;Member;Male;Health and beauty;97.22;9;43749;918729;30/03/2019;14:43:00;Ewallet;4761904762;43749;6.0
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;93.39;6;28017;588357;27/03/2019;19:18:00;Ewallet;4761904762;28017;10.0
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;43.18;8;17272;362712;19/01/2019;19:39:00;Credit card;4761904762;17272;8.3
275-28-0149;A;Yangon;Normal;Male;Sports and travel;63.69;1;31845;668745;25/02/2019;16:21:00;Cash;4761904762;31845;6.0
101-17-6199;A;Yangon;Normal;Male;Food and beverages;45.79;7;160265;3365565;13/03/2019;19:44:00;Credit card;4761904762;160265;7.0
423-80-0988;C;Naypyitaw;Normal;Male;Sports and travel;76.4;2;7.64;160.44;30/01/2019;19:42:00;Ewallet;4761904762;7.64;6.5
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;39.9;10;19.95;418.95;20/02/2019;15:24:00;Credit card;4761904762;19.95;5.9
505-02-0892;B;Mandalay;Member;Male;Health and beauty;42.57;8;17028;357588;25/02/2019;14:12:00;Ewallet;4761904762;17028;5.6
234-65-2137;C;Naypyitaw;Normal;Male;Home and lifestyle;95.58;10;47.79;1003.59;16/01/2019;13:32:00;Cash;4761904762;47.79;4.8
687-47-8271;A;Yangon;Normal;Male;Fashion accessories;98.98;10;49.49;1039.29;08/02/2019;16:20:00;Credit card;4761904762;49.49;8.7
796-32-9050;A;Yangon;Normal;Male;Food and beverages;51.28;6;15384;323064;19/01/2019;16:31:00;Cash;4761904762;15384;6.5
105-31-1824;A;Yangon;Member;Male;Sports and travel;69.52;7;24332;510972;01/02/2019;15:10:00;Credit card;4761904762;24332;8.5
249-42-3782;A;Yangon;Normal;Male;Health and beauty;70.01;5;175025;3675525;03/01/2019;11:36:00;Ewallet;4761904762;175025;5.5
316-55-4634;B;Mandalay;Member;Male;Food and beverages;80.05;5;200125;4202625;;12:45:00;Credit card;4761904762;200125;9.4
733-33-4967;C;Naypyitaw;Normal;Male;Electronic accessories;20.85;8;8.34;175.14;03/03/2019;19:17:00;Cash;4761904762;8.34;6.3
608-27-6295;B;Mandalay;Member;Male;Electronic accessories;52.89;6;15867;333207;19/01/2019;17:34:00;Credit card;4761904762;15867;9.8
414-12-7047;B;Mandalay;Normal;Male;Food and beverages;19.79;8;7916;166236;18/01/2019;12:04:00;Ewallet;4761904762;7916;8.7
827-26-2100;A;Yangon;Member;Male;Home and lifestyle;33.84;9;;319788;;16:21:00;Ewallet;;;8.8
175-54-2529;A;Yangon;Member;Male;Food and beverages;22.17;8;;186228;03/03/2019;17:01:00;Credit card;4761904762;8868;9.6
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;22.51;7;78785;1654485;13/02/2019;10:50:00;Credit card;4761904762;78785;4.8
407-63-8975;A;Yangon;Normal;Male;Food and beverages;73.88;6;22164;465444;23/03/2019;19:16:00;Ewallet;4761904762;22164;4.4
342-65-4817;C;Naypyitaw;Member;Male;Health and beauty;86.8;3;13.02;273.42;28/01/2019;16:47:00;Ewallet;4761904762;13.02;9.9
130-98-8941;C;Naypyitaw;Normal;Male;Fashion accessories;64.26;7;22491;472311;09/02/2019;10:00:00;Cash;4761904762;22491;5.7
434-83-9547;C;Naypyitaw;Member;Male;Food and beverages;38.47;8;15388;323148;23/01/2019;11:51:00;Cash;4761904762;15388;7.7
851-28-6367;A;Yangon;Member;Male;Sports and travel;15.5;10;7.75;162.75;23/03/2019;10:55:00;Ewallet;4761904762;7.75;8.0
824-88-3614;C;Naypyitaw;Normal;Male;Health and beauty;34.31;8;13724;288204;25/01/2019;15:00:00;Ewallet;4761904762;13724;5.7
586-25-0848;A;Yangon;Normal;Female;Sports and travel;12.34;7;4319;90699;04/03/2019;11:19:00;Credit card;4761904762;4319;6.7
895-66-0685;B;Mandalay;Member;Male;Food and beverages;18.08;3;2712;56952;05/03/2019;19:46:00;Ewallet;4761904762;2712;8.0
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;94.49;8;37796;793716;03/03/2019;19:00:00;Ewallet;4761904762;37796;7.5
732-04-5373;B;Mandalay;Member;Male;Home and lifestyle;46.47;4;9294;195174;08/02/2019;10:53:00;Cash;4761904762;9294;7.0
400-60-7251;A;Yangon;Normal;Male;Home and lifestyle;74.07;1;37035;777735;10/02/2019;12:50:00;Ewallet;4761904762;37035;9.9
593-65-1552;C;Naypyitaw;Normal;Female;Home and lifestyle;69.81;4;13962;293202;28/01/2019;20:50:00;Credit card;4761904762;13962;5.9
284-34-9626;B;Mandalay;Normal;Female;Home and lifestyle;77.04;3;11556;242676;11/02/2019;10:39:00;Credit card;4761904762;11556;7.2
437-58-8131;B;Mandalay;Normal;Female;Fashion accessories;73.52;2;7352;154392;15/01/2019;13:41:00;Ewallet;4761904762;7352;4.6
286-43-6208;C;Naypyitaw;Normal;Female;Food and beverages;87.8;9;39.51;82971;16/03/2019;19:08:00;Cash;4761904762;39.51;9.2
